customer_id,customer_name,segment,city,country,state,region,postal_code
CG-12520,Claire Gute,Consumer,Henderson,United States,Kentucky,South,42420
DV-13045,Darrin Van Huff,Corporate,Los Angeles,United States,California,West,90036
SO-20335,Sean O'Donnell,Consumer,Fort Lauderdale,United States,Florida,South,33311
BH-11710,Brosina Hoffman,Consumer,Los Angeles,United States,California,West,90032
AA-10480,Andrew Allen,Consumer,Concord,United States,North Carolina,South,28027
IM-15070,Irene Maddox,Consumer,Seattle,United States,Washington,West,98103
HP-14815,Harold Pawlan,Home Office,Fort Worth,United States,Texas,Central,76106
PK-19075,Pete Kriz,Consumer,Madison,United States,Wisconsin,Central,53711
AG-10270,Alejandro Grove,Consumer,West Jordan,United States,Utah,West,84084
ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,United States,California,West,94109
KB-16585,Ken Black,Corporate,Fremont,United States,Nebraska,Central,68025
SF-20065,Sandra Flanagan,Consumer,Philadelphia,United States,Pennsylvania,East,19140
EB-13870,Emily Burns,Consumer,Orem,United States,Utah,West,84057
EH-13945,Eric Hoffmann,Consumer,Los Angeles,United States,California,West,90049
TB-21520,Tracy Blumstein,Consumer,Philadelphia,United States,Pennsylvania,East,19140
MA-17560,Matt Abelman,Home Office,Houston,United States,Texas,Central,77095
GH-14485,Gene Hale,Corporate,Richardson,United States,Texas,Central,75080
SN-20710,Steve Nguyen,Home Office,Houston,United States,Texas,Central,77041
LC-16930,Linda Cazamias,Corporate,Naperville,United States,Illinois,Central,60540
RA-19885,Ruben Ausman,Corporate,Los Angeles,United States,California,West,90049
ES-14080,Erin Smith,Corporate,Melbourne,United States,Florida,South,32935
ON-18715,Odella Nelson,Corporate,Eagan,United States,Minnesota,Central,55122
PO-18865,Patrick O'Donnell,Consumer,Westland,United States,Michigan,Central,48185
LH-16900,Lena Hernandez,Consumer,Dover,United States,Delaware,East,19901
DP-13000,Darren Powers,Consumer,New Albany,United States,Indiana,Central,47150
JM-15265,Janet Molinari,Corporate,New York City,United States,New York,East,10024
TB-21055,Ted Butterfield,Consumer,Troy,United States,New York,East,12180
KM-16720,Kunst Miller,Consumer,Los Angeles,United States,California,West,90004
PS-18970,Paul Stevenson,Home Office,Chicago,United States,Illinois,Central,60610
BS-11590,Brendan Sweed,Corporate,Gilbert,United States,Arizona,West,85234
KD-16270,Karen Daniels,Consumer,Springfield,United States,Virginia,South,22153
HM-14980,Henry MacAllister,Consumer,New York City,United States,New York,East,10009
JE-15745,Joel Eaton,Consumer,Memphis,United States,Tennessee,South,38109
KB-16600,Ken Brennan,Corporate,Houston,United States,Texas,Central,77041
SC-20770,Stewart Carmichael,Corporate,Decatur,United States,Alabama,South,35601
DN-13690,Duane Noonan,Consumer,San Francisco,United States,California,West,94122
JC-16105,Julie Creighton,Corporate,Durham,United States,North Carolina,South,27707
CS-12400,Christopher Schild,Home Office,Chicago,United States,Illinois,Central,60623
PG-18895,Paul Gonzalez,Consumer,Rochester,United States,Minnesota,Central,55901
